column_a,code,browser,cldr_short_name
2282,U+0023 U+FE0F U+20E3,"#️⃣","keycap: #"
2283,U+002A U+FE0F U+20E3,*️⃣,keycap: *
2284,U+0030 U+FE0F U+20E3,0️⃣,keycap: 0
2285,U+0031 U+FE0F U+20E3,1️⃣,keycap: 1
2286,U+0032 U+FE0F U+20E3,2️⃣,keycap: 2
2287,U+0033 U+FE0F U+20E3,3️⃣,keycap: 3
2288,U+0034 U+FE0F U+20E3,4️⃣,keycap: 4
2289,U+0035 U+FE0F U+20E3,5️⃣,keycap: 5
2290,U+0036 U+FE0F U+20E3,6️⃣,keycap: 6
2291,U+0037 U+FE0F U+20E3,7️⃣,keycap: 7
2292,U+0038 U+FE0F U+20E3,8️⃣,keycap: 8
2293,U+0039 U+FE0F U+20E3,9️⃣,keycap: 9
2294,U+1F51F,🔟,keycap 10
