column_a,code,browser,cldr_short_name
1232,U+1F933,🤳,selfie
1233,U+1F933 U+1F3FB,🤳🏻,selfie: light skin tone
1234,U+1F933 U+1F3FC,🤳🏼,selfie: medium-light skin tone
1235,U+1F933 U+1F3FD,🤳🏽,selfie: medium skin tone
1236,U+1F933 U+1F3FE,🤳🏾,selfie: medium-dark skin tone
1237,U+1F933 U+1F3FF,🤳🏿,selfie: dark skin tone
1238,U+1F4AA,💪,flexed biceps
1239,U+1F4AA U+1F3FB,💪🏻,flexed biceps: light skin tone
1240,U+1F4AA U+1F3FC,💪🏼,flexed biceps: medium-light skin tone
1241,U+1F4AA U+1F3FD,💪🏽,flexed biceps: medium skin tone
1242,U+1F4AA U+1F3FE,💪🏾,flexed biceps: medium-dark skin tone
1243,U+1F4AA U+1F3FF,💪🏿,flexed biceps: dark skin tone
1244,U+1F448,👈,backhand index pointing left
1245,U+1F448 U+1F3FB,👈🏻,backhand index pointing left: light skin tone
1246,U+1F448 U+1F3FC,👈🏼,backhand index pointing left: medium-light skin tone
1247,U+1F448 U+1F3FD,👈🏽,backhand index pointing left: medium skin tone
1248,U+1F448 U+1F3FE,👈🏾,backhand index pointing left: medium-dark skin tone
1249,U+1F448 U+1F3FF,👈🏿,backhand index pointing left: dark skin tone
1250,U+1F449,👉,backhand index pointing right
1251,U+1F449 U+1F3FB,👉🏻,backhand index pointing right: light skin tone
1252,U+1F449 U+1F3FC,👉🏼,backhand index pointing right: medium-light skin tone
1253,U+1F449 U+1F3FD,👉🏽,backhand index pointing right: medium skin tone
1254,U+1F449 U+1F3FE,👉🏾,backhand index pointing right: medium-dark skin tone
1255,U+1F449 U+1F3FF,👉🏿,backhand index pointing right: dark skin tone
1256,U+261D,☝,index pointing up
1257,U+261D U+1F3FB,☝🏻,index pointing up: light skin tone
1258,U+261D U+1F3FC,☝🏼,index pointing up: medium-light skin tone
1259,U+261D U+1F3FD,☝🏽,index pointing up: medium skin tone
1260,U+261D U+1F3FE,☝🏾,index pointing up: medium-dark skin tone
1261,U+261D U+1F3FF,☝🏿,index pointing up: dark skin tone
1262,U+1F446,👆,backhand index pointing up
1263,U+1F446 U+1F3FB,👆🏻,backhand index pointing up: light skin tone
1264,U+1F446 U+1F3FC,👆🏼,backhand index pointing up: medium-light skin tone
1265,U+1F446 U+1F3FD,👆🏽,backhand index pointing up: medium skin tone
1266,U+1F446 U+1F3FE,👆🏾,backhand index pointing up: medium-dark skin tone
1267,U+1F446 U+1F3FF,👆🏿,backhand index pointing up: dark skin tone
1268,U+1F595,🖕,middle finger
1269,U+1F595 U+1F3FB,🖕🏻,middle finger: light skin tone
1270,U+1F595 U+1F3FC,🖕🏼,middle finger: medium-light skin tone
1271,U+1F595 U+1F3FD,🖕🏽,middle finger: medium skin tone
1272,U+1F595 U+1F3FE,🖕🏾,middle finger: medium-dark skin tone
1273,U+1F595 U+1F3FF,🖕🏿,middle finger: dark skin tone
1274,U+1F447,👇,backhand index pointing down
1275,U+1F447 U+1F3FB,👇🏻,backhand index pointing down: light skin tone
1276,U+1F447 U+1F3FC,👇🏼,backhand index pointing down: medium-light skin tone
1277,U+1F447 U+1F3FD,👇🏽,backhand index pointing down: medium skin tone
1278,U+1F447 U+1F3FE,👇🏾,backhand index pointing down: medium-dark skin tone
1279,U+1F447 U+1F3FF,👇🏿,backhand index pointing down: dark skin tone
1280,U+270C,✌,victory hand
1281,U+270C U+1F3FB,✌🏻,victory hand: light skin tone
1282,U+270C U+1F3FC,✌🏼,victory hand: medium-light skin tone
1283,U+270C U+1F3FD,✌🏽,victory hand: medium skin tone
1284,U+270C U+1F3FE,✌🏾,victory hand: medium-dark skin tone
1285,U+270C U+1F3FF,✌🏿,victory hand: dark skin tone
1286,U+1F91E,🤞,crossed fingers
1287,U+1F91E U+1F3FB,🤞🏻,crossed fingers: light skin tone
1288,U+1F91E U+1F3FC,🤞🏼,crossed fingers: medium-light skin tone
1289,U+1F91E U+1F3FD,🤞🏽,crossed fingers: medium skin tone
1290,U+1F91E U+1F3FE,🤞🏾,crossed fingers: medium-dark skin tone
1291,U+1F91E U+1F3FF,🤞🏿,crossed fingers: dark skin tone
1292,U+1F596,🖖,vulcan salute
1293,U+1F596 U+1F3FB,🖖🏻,vulcan salute: light skin tone
1294,U+1F596 U+1F3FC,🖖🏼,vulcan salute: medium-light skin tone
1295,U+1F596 U+1F3FD,🖖🏽,vulcan salute: medium skin tone
1296,U+1F596 U+1F3FE,🖖🏾,vulcan salute: medium-dark skin tone
1297,U+1F596 U+1F3FF,🖖🏿,vulcan salute: dark skin tone
1298,U+1F918,🤘,sign of the horns
1299,U+1F918 U+1F3FB,🤘🏻,sign of the horns: light skin tone
1300,U+1F918 U+1F3FC,🤘🏼,sign of the horns: medium-light skin tone
1301,U+1F918 U+1F3FD,🤘🏽,sign of the horns: medium skin tone
1302,U+1F918 U+1F3FE,🤘🏾,sign of the horns: medium-dark skin tone
1303,U+1F918 U+1F3FF,🤘🏿,sign of the horns: dark skin tone
1304,U+1F919,🤙,call me hand
1305,U+1F919 U+1F3FB,🤙🏻,call me hand: light skin tone
1306,U+1F919 U+1F3FC,🤙🏼,call me hand: medium-light skin tone
1307,U+1F919 U+1F3FD,🤙🏽,call me hand: medium skin tone
1308,U+1F919 U+1F3FE,🤙🏾,call me hand: medium-dark skin tone
1309,U+1F919 U+1F3FF,🤙🏿,call me hand: dark skin tone
1310,U+1F590,🖐,hand with fingers splayed
1311,U+1F590 U+1F3FB,🖐🏻,hand with fingers splayed: light skin tone
1312,U+1F590 U+1F3FC,🖐🏼,hand with fingers splayed: medium-light skin tone
1313,U+1F590 U+1F3FD,🖐🏽,hand with fingers splayed: medium skin tone
1314,U+1F590 U+1F3FE,🖐🏾,hand with fingers splayed: medium-dark skin tone
1315,U+1F590 U+1F3FF,🖐🏿,hand with fingers splayed: dark skin tone
1316,U+270B,✋,raised hand
1317,U+270B U+1F3FB,✋🏻,raised hand: light skin tone
1318,U+270B U+1F3FC,✋🏼,raised hand: medium-light skin tone
1319,U+270B U+1F3FD,✋🏽,raised hand: medium skin tone
1320,U+270B U+1F3FE,✋🏾,raised hand: medium-dark skin tone
1321,U+270B U+1F3FF,✋🏿,raised hand: dark skin tone
1322,U+1F44C,👌,OK hand
1323,U+1F44C U+1F3FB,👌🏻,OK hand: light skin tone
1324,U+1F44C U+1F3FC,👌🏼,OK hand: medium-light skin tone
1325,U+1F44C U+1F3FD,👌🏽,OK hand: medium skin tone
1326,U+1F44C U+1F3FE,👌🏾,OK hand: medium-dark skin tone
1327,U+1F44C U+1F3FF,👌🏿,OK hand: dark skin tone
1328,U+1F44D,👍,thumbs up
1329,U+1F44D U+1F3FB,👍🏻,thumbs up: light skin tone
1330,U+1F44D U+1F3FC,👍🏼,thumbs up: medium-light skin tone
1331,U+1F44D U+1F3FD,👍🏽,thumbs up: medium skin tone
1332,U+1F44D U+1F3FE,👍🏾,thumbs up: medium-dark skin tone
1333,U+1F44D U+1F3FF,👍🏿,thumbs up: dark skin tone
1334,U+1F44E,👎,thumbs down
