column_a,code,browser,cldr_short_name
2097,U+1F4BC,💼,briefcase
2098,U+1F4C1,📁,file folder
2099,U+1F4C2,📂,open file folder
2100,U+1F5C2,🗂,card index dividers
2101,U+1F4C5,📅,calendar
2102,U+1F4C6,📆,tear-off calendar
2103,U+1F5D2,🗒,spiral notepad
2104,U+1F5D3,🗓,spiral calendar
2105,U+1F4C7,📇,card index
2106,U+1F4C8,📈,chart increasing
2107,U+1F4C9,📉,chart decreasing
2108,U+1F4CA,📊,bar chart
2109,U+1F4CB,📋,clipboard
2110,U+1F4CC,📌,pushpin
2111,U+1F4CD,📍,round pushpin
2112,U+1F4CE,📎,paperclip
2113,U+1F587,🖇,linked paperclips
2114,U+1F4CF,📏,straight ruler
2115,U+1F4D0,📐,triangular ruler
2116,U+2702,✂,scissors
2117,U+1F5C3,🗃,card file box
2118,U+1F5C4,🗄,file cabinet
2119,U+1F5D1,🗑,wastebasket
