column_a,code,browser,cldr_short_name
798,U+1F486,💆,person getting massage
799,U+1F486 U+1F3FB,💆🏻,person getting massage: light skin tone
800,U+1F486 U+1F3FC,💆🏼,person getting massage: medium-light skin tone
801,U+1F486 U+1F3FD,💆🏽,person getting massage: medium skin tone
802,U+1F486 U+1F3FE,💆🏾,person getting massage: medium-dark skin tone
803,U+1F486 U+1F3FF,💆🏿,person getting massage: dark skin tone
804,U+1F486 U+200D U+2642 U+FE0F,💆‍♂️,man getting massage
805,U+1F486 U+1F3FB U+200D U+2642 U+FE0F,💆🏻‍♂️,man getting massage: light skin tone
806,U+1F486 U+1F3FC U+200D U+2642 U+FE0F,💆🏼‍♂️,man getting massage: medium-light skin tone
807,U+1F486 U+1F3FD U+200D U+2642 U+FE0F,💆🏽‍♂️,man getting massage: medium skin tone
808,U+1F486 U+1F3FE U+200D U+2642 U+FE0F,💆🏾‍♂️,man getting massage: medium-dark skin tone
809,U+1F486 U+1F3FF U+200D U+2642 U+FE0F,💆🏿‍♂️,man getting massage: dark skin tone
810,U+1F486 U+200D U+2640 U+FE0F,💆‍♀️,woman getting massage
811,U+1F486 U+1F3FB U+200D U+2640 U+FE0F,💆🏻‍♀️,woman getting massage: light skin tone
812,U+1F486 U+1F3FC U+200D U+2640 U+FE0F,💆🏼‍♀️,woman getting massage: medium-light skin tone
813,U+1F486 U+1F3FD U+200D U+2640 U+FE0F,💆🏽‍♀️,woman getting massage: medium skin tone
814,U+1F486 U+1F3FE U+200D U+2640 U+FE0F,💆🏾‍♀️,woman getting massage: medium-dark skin tone
815,U+1F486 U+1F3FF U+200D U+2640 U+FE0F,💆🏿‍♀️,woman getting massage: dark skin tone
816,U+1F487,💇,person getting haircut
817,U+1F487 U+1F3FB,💇🏻,person getting haircut: light skin tone
818,U+1F487 U+1F3FC,💇🏼,person getting haircut: medium-light skin tone
819,U+1F487 U+1F3FD,💇🏽,person getting haircut: medium skin tone
820,U+1F487 U+1F3FE,💇🏾,person getting haircut: medium-dark skin tone
821,U+1F487 U+1F3FF,💇🏿,person getting haircut: dark skin tone
822,U+1F487 U+200D U+2642 U+FE0F,💇‍♂️,man getting haircut
823,U+1F487 U+1F3FB U+200D U+2642 U+FE0F,💇🏻‍♂️,man getting haircut: light skin tone
824,U+1F487 U+1F3FC U+200D U+2642 U+FE0F,💇🏼‍♂️,man getting haircut: medium-light skin tone
825,U+1F487 U+1F3FD U+200D U+2642 U+FE0F,💇🏽‍♂️,man getting haircut: medium skin tone
826,U+1F487 U+1F3FE U+200D U+2642 U+FE0F,💇🏾‍♂️,man getting haircut: medium-dark skin tone
827,U+1F487 U+1F3FF U+200D U+2642 U+FE0F,💇🏿‍♂️,man getting haircut: dark skin tone
828,U+1F487 U+200D U+2640 U+FE0F,💇‍♀️,woman getting haircut
829,U+1F487 U+1F3FB U+200D U+2640 U+FE0F,💇🏻‍♀️,woman getting haircut: light skin tone
830,U+1F487 U+1F3FC U+200D U+2640 U+FE0F,💇🏼‍♀️,woman getting haircut: medium-light skin tone
831,U+1F487 U+1F3FD U+200D U+2640 U+FE0F,💇🏽‍♀️,woman getting haircut: medium skin tone
832,U+1F487 U+1F3FE U+200D U+2640 U+FE0F,💇🏾‍♀️,woman getting haircut: medium-dark skin tone
833,U+1F487 U+1F3FF U+200D U+2640 U+FE0F,💇🏿‍♀️,woman getting haircut: dark skin tone
834,U+1F6B6,🚶,person walking
835,U+1F6B6 U+1F3FB,🚶🏻,person walking: light skin tone
836,U+1F6B6 U+1F3FC,🚶🏼,person walking: medium-light skin tone
837,U+1F6B6 U+1F3FD,🚶🏽,person walking: medium skin tone
838,U+1F6B6 U+1F3FE,🚶🏾,person walking: medium-dark skin tone
839,U+1F6B6 U+1F3FF,🚶🏿,person walking: dark skin tone
840,U+1F6B6 U+200D U+2642 U+FE0F,🚶‍♂️,man walking
841,U+1F6B6 U+1F3FB U+200D U+2642 U+FE0F,🚶🏻‍♂️,man walking: light skin tone
842,U+1F6B6 U+1F3FC U+200D U+2642 U+FE0F,🚶🏼‍♂️,man walking: medium-light skin tone
843,U+1F6B6 U+1F3FD U+200D U+2642 U+FE0F,🚶🏽‍♂️,man walking: medium skin tone
844,U+1F6B6 U+1F3FE U+200D U+2642 U+FE0F,🚶🏾‍♂️,man walking: medium-dark skin tone
845,U+1F6B6 U+1F3FF U+200D U+2642 U+FE0F,🚶🏿‍♂️,man walking: dark skin tone
846,U+1F6B6 U+200D U+2640 U+FE0F,🚶‍♀️,woman walking
847,U+1F6B6 U+1F3FB U+200D U+2640 U+FE0F,🚶🏻‍♀️,woman walking: light skin tone
848,U+1F6B6 U+1F3FC U+200D U+2640 U+FE0F,🚶🏼‍♀️,woman walking: medium-light skin tone
849,U+1F6B6 U+1F3FD U+200D U+2640 U+FE0F,🚶🏽‍♀️,woman walking: medium skin tone
850,U+1F6B6 U+1F3FE U+200D U+2640 U+FE0F,🚶🏾‍♀️,woman walking: medium-dark skin tone
851,U+1F6B6 U+1F3FF U+200D U+2640 U+FE0F,🚶🏿‍♀️,woman walking: dark skin tone
852,U+1F3C3,🏃,person running
853,U+1F3C3 U+1F3FB,🏃🏻,person running: light skin tone
854,U+1F3C3 U+1F3FC,🏃🏼,person running: medium-light skin tone
855,U+1F3C3 U+1F3FD,🏃🏽,person running: medium skin tone
856,U+1F3C3 U+1F3FE,🏃🏾,person running: medium-dark skin tone
857,U+1F3C3 U+1F3FF,🏃🏿,person running: dark skin tone
858,U+1F3C3 U+200D U+2642 U+FE0F,🏃‍♂️,man running
859,U+1F3C3 U+1F3FB U+200D U+2642 U+FE0F,🏃🏻‍♂️,man running: light skin tone
860,U+1F3C3 U+1F3FC U+200D U+2642 U+FE0F,🏃🏼‍♂️,man running: medium-light skin tone
861,U+1F3C3 U+1F3FD U+200D U+2642 U+FE0F,🏃🏽‍♂️,man running: medium skin tone
862,U+1F3C3 U+1F3FE U+200D U+2642 U+FE0F,🏃🏾‍♂️,man running: medium-dark skin tone
863,U+1F3C3 U+1F3FF U+200D U+2642 U+FE0F,🏃🏿‍♂️,man running: dark skin tone
864,U+1F3C3 U+200D U+2640 U+FE0F,🏃‍♀️,woman running
865,U+1F3C3 U+1F3FB U+200D U+2640 U+FE0F,🏃🏻‍♀️,woman running: light skin tone
866,U+1F3C3 U+1F3FC U+200D U+2640 U+FE0F,🏃🏼‍♀️,woman running: medium-light skin tone
867,U+1F3C3 U+1F3FD U+200D U+2640 U+FE0F,🏃🏽‍♀️,woman running: medium skin tone
868,U+1F3C3 U+1F3FE U+200D U+2640 U+FE0F,🏃🏾‍♀️,woman running: medium-dark skin tone
869,U+1F3C3 U+1F3FF U+200D U+2640 U+FE0F,🏃🏿‍♀️,woman running: dark skin tone
870,U+1F483,💃,woman dancing
871,U+1F483 U+1F3FB,💃🏻,woman dancing: light skin tone
872,U+1F483 U+1F3FC,💃🏼,woman dancing: medium-light skin tone
873,U+1F483 U+1F3FD,💃🏽,woman dancing: medium skin tone
874,U+1F483 U+1F3FE,💃🏾,woman dancing: medium-dark skin tone
875,U+1F483 U+1F3FF,💃🏿,woman dancing: dark skin tone
876,U+1F57A,🕺,man dancing
877,U+1F57A U+1F3FB,🕺🏻,man dancing: light skin tone
878,U+1F57A U+1F3FC,🕺🏼,man dancing: medium-light skin tone
879,U+1F57A U+1F3FD,🕺🏽,man dancing: medium skin tone
